"DateTime","Icelandair Group Verð ","Icelandair Group Magn"
"2016-08-02 18:00:00",28.1,7812737
"2016-08-03 18:00:00",28.75,22249131
"2016-08-04 18:00:00",28.5,28193829
"2016-08-05 18:00:00",27.9,17355930
"2016-08-08 18:00:00",27.35,14207386
"2016-08-09 18:00:00",27.25,35995702
"2016-08-10 18:00:00",27.2,11851400
"2016-08-11 18:00:00",27.2,1781950
"2016-08-12 18:00:00",27.3,12643685
"2016-08-15 18:00:00",27.6,15815670
"2016-08-16 18:00:00",27.6,13345000
"2016-08-17 18:00:00",27.05,19352800
"2016-08-18 18:00:00",26.9,12286760
"2016-08-19 18:00:00",26.85,66296466
"2016-08-22 18:00:00",27,1698400
"2016-08-23 18:00:00",26.9,403000
"2016-08-24 18:00:00",27.7,23399000
"2016-08-25 18:00:00",26.9,18356108
"2016-08-26 18:00:00",26.5,10603000
"2016-08-29 18:00:00",25.6,16423828
"2016-08-30 18:00:00",26,20456292
"2016-08-31 18:00:00",26.5,43279271
"2016-09-01 18:00:00",27.1,21496744
"2016-09-02 18:00:00",27.15,24695590
"2016-09-05 18:00:00",26.55,15678320
"2016-09-06 18:00:00",26.2,8876675
"2016-09-07 18:00:00",25.85,13587990
"2016-09-08 18:00:00",25.9,26946797
"2016-09-09 18:00:00",27.15,84237016
"2016-09-12 18:00:00",27.35,33895181
"2016-09-13 18:00:00",26.95,5170541
"2016-09-14 18:00:00",26.9,17750088
"2016-09-15 18:00:00",27,5569534
"2016-09-16 18:00:00",26.75,4532133
"2016-09-19 18:00:00",26.6,12271381
"2016-09-20 18:00:00",26.45,6953342
"2016-09-21 18:00:00",26.2,5597821
"2016-09-22 18:00:00",25.95,9777800
"2016-09-23 18:00:00",26.2,6469534
"2016-09-26 18:00:00",25.7,29388234
"2016-09-27 18:00:00",25.3,24987109
"2016-09-28 18:00:00",25.35,18327284
"2016-09-29 18:00:00",24.55,27671941
"2016-09-30 18:00:00",23.35,56685536
"2016-10-03 18:00:00",24.35,40843611
"2016-10-04 18:00:00",25.45,53460492
"2016-10-05 18:00:00",26,63039506
"2016-10-06 18:00:00",26.2,24184052
"2016-10-07 18:00:00",26.15,14621683
"2016-10-10 18:00:00",26.525,48843822
"2016-10-11 18:00:00",26.1,2878000
"2016-10-12 18:00:00",25.8,11540856
"2016-10-13 18:00:00",25.25,17000000
"2016-10-14 18:00:00",25.25,3775725
"2016-10-17 18:00:00",25,16100803
"2016-10-18 18:00:00",24.4,13051734
"2016-10-19 18:00:00",24.7,22850521
